country,results.year,results.pages.page0.raceDateTitle,results.pages.page0.tables.tableTitle,results.pages.page0.tables.tableRows.poř.,results.pages.page0.tables.tableRows.jméno koně,results.pages.page0.tables.tableRows.váha,results.pages.page0.tables.tableRows.jezdec,results.pages.page0.tables.tableRows.výrok,results.pages.page0.tables.tableRows.čas,results.pages.page0.tables.tableRows.st.č.,results.pages.page0.tables.tableRows.trenér,results.pages.page0.tables.tableRows.evq,results.pages.page1.raceDateTitle,results.pages.page1.tables.tableTitle,results.pages.page1.tables.tableRows.poř.,results.pages.page1.tables.tableRows.jméno koně,results.pages.page1.tables.tableRows.váha,results.pages.page1.tables.tableRows.jezdec,results.pages.page1.tables.tableRows.výrok,results.pages.page1.tables.tableRows.čas,results.pages.page1.tables.tableRows.st.č.,results.pages.page1.tables.tableRows.trenér,results.pages.page1.tables.tableRows.evq
,,,,,,,,,,,,,,,13.,"PAOLO CINELLA(FR), 4 hř","58,0",ž. Adam Florian,2 1/2,,12,Kubovičová Zuzana,161
,2023,Výsledky ze dne 29.10.2023 - Bratislava (Slovensko),"7137 Cena Jareny
Rovina III.kat. - 1200 m, cena, 2letí
3.000 EUR (1350 - 660 - 420 - 270 - 180 - 120)
Zápisné: 0 + 0 EUR",1.,"INCA DREAM(IRE), 2 hř","57,0",ž. Ján Havlík,BOJ,,2,Koplík Zdeno,49,,,ZN,"VALTTERI(GER), 4 hř","56,0",ž. Michal Demo,,,4,Hribar Primož,87
,,,,2.,"HURIKÁN(SVK), 2 hř","57,0",ž. Adam Florian,3/4,,5,Mihalík Marcel,30,,,,,,,,,,,
,,,,3.,"QWINY, 2 kl","53,5",žk. Tomáš Roman,8,,1,Bodlák Radim,21,,,,,,,,,,,
,,,,4.,"TERMINI(IRE), 2 hř","54,0",Ferdinand Kráner,daleko,,3,Línek Jaroslav,35,,,,,,,,,,,
,,,"7138 Cena Meny Bay
Proutky - - 2800 m, cena, 3letí a starší
2.000 EUR (1000 - 460 - 260 - 160 - 120)
Zápisné: 0 + 0 EUR",ZN,"BURSTAR(IRE), 2 hř","56,0",Michaela Jakábová,,,4,Kubovičová Zuzana,66,,,,,,,,,,,
,,,,1.,"HAKIMPOUR(IRE), 5 val","74,5",ž. Pavel Složil ml.,ZADRŽENĚ,,6,Brečka Jaroslav,14,,,,,,,,,,,
,,,,2.,"ANAYA, 3 kl","61,0","Ján Mach, MVDr.",daleko,,3,Cagáň Ján,38,,,,,,,,,,,
,,,,3.,"PADELA(FR), 3 kl","68,0",Adam Čmiel,5,,2,Složil Pavel,57,,,,,,,,,,,
,,,,Z,"SORGAN, 5 hř","70,0",Dominika Baranová,,,1,Rous Petr,163,,,,,,,,,,,
,,,"7139 Memoriál MVDr. Pavla Šarišského
Rovina II.kat. - 1800 m, cena, 2letí
4.000 EUR (1800 - 880 - 560 - 360 - 240 - 160)
Zápisné: 0 + 0 EUR",ZN,"WILD WATER, 3 kl","68,5",ž. Martin Cagáň,,,7,Cagáň Ján,43,,,,,,,,,,,
,,,,1.,"NINNA BEST(GER), 2 kl","56,0",ž. Petr Foret,ZADRŽENĚ,,4,Kubovičová Zuzana,16,,,,,,,,,,,
,,,,2.,"HÁJEK(IRE), 2 hř","57,0",ž. Monir Madihi,14,,6,Hanáček Jaroslav,101,,,,,,,,,,,
,,,,3.,"BORN TO CHAMPION(IRE), 2 hř","57,0",žk. Tomáš Roman,2,,1,Štangel Marián,108,,,,,,,,,,,
,,,,4.,"IT`S EDDY(IRE), 2 hř","57,0",ž. Adam Florian,2,,5,Kubovičová Zuzana,45,,,,,,,,,,,
,,,,5.,"MISTER SLOVAKIA(IRE), 2 hř","58,0",ž. Jaroslav Línek,6,,3,Chodúr Jozef,38,,,,,,,,,,,
,,,,6.,"SAAYA(CRO), 2 kl","56,0",ž. Ján Havlík,3,,2,Hanáček Jaroslav,167,,,,,,,,,,,
,,,"7141 Cena Sequoie
Rovina IV.kat. - 1600 m, cena, 3letí a starší
2.300 EUR (1035 - 505 - 320 - 210 - 140 - 90)
Zápisné: 0 + 0 EUR",7.,"SNEHURKA(IRE), 2 kl","56,0",Petra Zedková,5,,7,Štangel Marián,108,,,,,,,,,,,
,,,,1.,"RAINIER(GB), 5 val","59,0",ž. Radek Koplík,BOJ,,11,Koplík Zdeno,141,,,,,,,,,,,
,,,,2.,"BRAGA(IRE), 4 kl","57,5",Ferdinand Kráner,1,,10,Chodúr Jozef,84,,,,,,,,,,,
,,,,3.,"CALAH(IRE), 3 hř","55,0",žk. Tomáš Roman,1/2,,5,Štangel Marián,26,,,,,,,,,,,
,,,,4.,"PAOLO CINELLA(FR), 3 hř","57,5",ž. Petr Foret,1 1/2,,14,Kubovičová Zuzana,84,,,,,,,,,,,
,,,,5.,"WHISPERS AND SIGHS(FR), 5 kl","58,5",ž. Róbert Šara,nos,,3,Brečka Jaroslav,128,,,,,,,,,,,
,,,,6.,"RABBIT REQUINTO(IRE), 5 val","60,0",ž. Jiřina Andrésová,1 1/2,,4,Havlíček Jan,141,,,,,,,,,,,
,,,,7.,"SKIF(SVK), 7 hř","61,0",ž. Ján Havlík,hlava,,13,Línek Jaroslav,50,,,,,,,,,,,
,,,,8.,"RAFAELO(FR), 3 hř","54,5",am. Nikola Miklová,1 1/4,,12,Brečka Jaroslav,330,,,,,,,,,,,
,,,,9.,"ATAMAN(SVK), 5 hř","59,0","Ján Mach, MVDr.",hlava,,8,Grupáčová Zuzana,233,,,,,,,,,,,
,,,,10.,"GOLDERA, 3 kl","56,0",Dominika Baranová,1/2,,7,Ralbovský Jozef,220,,,,,,,,,,,
,,,,11.,"SONY, 4 val","56,5",Miloslava Sedláková,1/2,,1,Vymazal Josef,113,,,,,,,,,,,
,,,,12.,"YENNKY(SVK), 4 hř","61,0",ž. Adam Florian,kr.hlava,,9,Línek Jaroslav,66,,,,,,,,,,,
,,,"7142 Memoriál Augustína Rišku
Rovina II.kat. - 1600 m, cena, 3letí a starší
4.000 EUR (1800 - 880 - 560 - 360 - 240 - 160)
Zápisné: 0 + 0 EUR",13.,"ROBERTA(SVK), 3 kl","56,5",ž. Monir Madihi,daleko,,6,Hanáček Jaroslav,233,,,,,,,,,,,
,,,,1.,"TROOP COMMANDER(IRE), 6 val","58,5",ž. Ján Havlík,BOJ,,3,Koplík Zdeno,87,,,,,,,,,,,
,,,,2.,"PASAREI(GER), 4 kl","59,5",ž. Róbert Šara,1/2,,6,Kubovičová Zuzana,161,,,,,,,,,,,
,,,,3.,"WHISTLEDOWNTHEWIND(IRE), 6 hř","60,5",ž. Monir Madihi,1 1/2,,8,Hanáček Jaroslav,76,,,,,,,,,,,
,,,,4.,"PATRICIUS(IRE), 5 hř","60,5",Petra Zedková,1/2,,4,Štangel Marián,128,,,,,,,,,,,
,,,,4.,"MAXIMUM RISK(IRE), 5 val","61,5",ž. Petr Foret,současně,,5,Brečka Jaroslav,53,,,,,,,,,,,
,,,,6.,"EYES ON YOU(GER), 6 kl","60,0",ž. Radek Koplík,1,,1,Línek Jaroslav,75,,,,,,,,,,,
,,,,7.,"KAPTAIN JOE(SVK), 7 hř","61,5",Ferdinand Kráner,1 1/2,,7,Malík Miroslav,23,,,,,,,,,,,
,,,"7143 12. Veľká októbrová cena
Rovina I.kat. - 2000 m, cena, 3letí a starší
5.800 EUR (2610 - 1280 - 810 - 520 - 350 - 230)
Zápisné: 0 + 0 EUR",8.,"MUSTELA(IRE), 4 kl","62,0",ž. Jaroslav Línek,5,,2,Línek Jaroslav,33,,,,,,,,,,,
,,,,1.,"IDEAL APPROACH(IRE), 11 val","58,5",ž. Petr Foret,BOJ,,9,Urbánek Luboš,66,,,,,,,,,,,
,,,,2.,"ROYAL CATATUMBO(IRE), 3 hř","58,0",ž. Radek Koplík,3/4,,8,Kubovičová Zuzana,53,,,,,,,,,,,
,,,,3.,"BLUE BAY, 5 kl","58,5",ž. Adam Florian,2 1/2,,3,Línek Jaroslav,60,,,,,,,,,,,
,,,,4.,"CARLO BIRAGHI(IRE), 8 val","60,0",ž. Róbert Šara,krk,,2,Koplík Zdeno,78,,,,,,,,,,,
,,,,5.,"FREE FOLIE(IRE), 3 kl","58,0",ž. Jaroslav Línek,1 1/2,,6,Línek Jaroslav,27,,,,,,,,,,,
,,,,6.,"RYONY(IRE), 7 val","58,5",ž. Jiřina Andrésová,3/4,,4,Havlíček Jan,336,,,,,,,,,,,
,,,,7.,"QUESSIGNY(FR), 4 hř","60,0",ž. Ján Havlík,6,,1,Línek Jaroslav,59,,,,,,,,,,,
,,,,8.,"MARANELLO ROSSO(FR), 3 hř","56,5",Petra Zedková,1 3/4,,5,Štangel Marián,91,,,,,,,,,,,
,,,"7144 Hendikep Marion
Rovina III.kat. - 2000 m, handicap, 3letí a starší
3.000 EUR (1350 - 660 - 420 - 270 - 180 - 120)
Zápisné: 0 + 0 EUR",9.,"ODSONNE(FR), 5 val","58,5",žk. Tomáš Roman,daleko,,7,Myšková Štěpánka,80,,,,,,,,,,,
,,,,1.,"SIR EGERTON, 6 hř","60,5",ž. Monir Madihi,BOJ,,2,Hanáček Jaroslav,278,,,,,,,,,,,
,,,,2.,"SADDAD(FR), 3 val","57,0",ž. Petr Foret,1/2,,7,Brečka Jaroslav,21,,,,,,,,,,,
,,,,3.,"FALCON X, 4 hř","62,5",žk. Tomáš Roman,3 1/2,,4,Štangel Marián,50,,,,,,,,,,,
,,,,4.,"GALADRIELA(GB), 3 kl","53,5",Silvie Ševčíková,hlava,,9,Štangel Marián,97,,,,,,,,,,,
,,,,5.,"DR COLOKID, 11 kl","52,0",Petra Zedková,1 1/2,,10,Kubliha Ladislav,103,,,,,,,,,,,
,,,,6.,"GRAY TOUCH(FR), 9 hř","59,0",Ferdinand Kráner,3 1/2,,3,Chodúr Jozef,78,,,,,,,,,,,
,,,,7.,"HAILEY(SVK), 6 val","57,0",ž. Adam Florian,3 1/4,,6,Brečka Jaroslav,86,,,,,,,,,,,
,,,,8.,"LADY JAZZ(GER), 3 kl","54,5",ž. Ján Havlík,1 1/4,,1,Línek Jaroslav,77,,,,,,,,,,,
,,,,9.,"PRUFY(IRE), 5 kl","50,0",am. Nikola Miklová,4 1/4,,5,Línek Jaroslav,82,,,,,,,,,,,
,,,,10.,"MATHEICA, 5 kl","52,0",ž. Jiřina Andrésová,daleko,,8,Kubliha Ladislav,241,Výsledky ze dne 15.10.2023 - Bratislava (Slovensko),"7129 Memoriál Adolfa a Richarda Weissovcov
Rovina III.kat. - 1600 m, cena, 2letí
3.000 EUR (1350 - 660 - 420 - 270 - 180 - 120)
Zápisné: 0 + 0 EUR",1.,"RHAPSODY(SVK), 2 kl","57,0",ž. Monir Madihi,V. LEHCE,,3,Hanáček Jaroslav,26
,,,,,,,,,,,,,,,2.,"HARMONY(SVK), 2 kl","56,0",ž. Martina Havelková,6,,7,Chodúr Jozef,644
,,,,,,,,,,,,,,,3.,"WHAM(SVK), 2 hř","58,0",ž. Radek Koplík,5,,5,Kubovičová Zuzana,64
,,,,,,,,,,,,,,,4.,"THORESO(SVK), 2 hř","57,0",ž. Petr Foret,3 3/4,,4,Kubovičová Zuzana,80
,,,,,,,,,,,,,,,5.,"GREAT MY DADDY(SVK), 2 hř","58,0",ž. Jaroslav Línek,2,,8,Malík Miroslav,58
,,,,,,,,,,,,,,,6.,"TESTERA(SVK), 2 kl","53,5",žk. Tomáš Roman,5,,2,Kubovičová Zuzana,28
,,,,,,,,,,,,,,"7130 Cena Viazmy
Rovina V.kat. - 1400 m, cena, 3letí a starší
1.800 EUR (810 - 400 - 250 - 160 - 105 - 75)
Zápisné: 0 + 0 EUR",7.,"CASPER(SVK), 2 hř","55,5",Ferdinand Kráner,6,,1,Stančík Miroslav,42
,,,,,,,,,,,,,,,1.,"ROSARIUS, 3 hř","58,5",ž. Adam Florian,V. LEHCE,,8,Ralbovský Jozef,57
,,,,,,,,,,,,,,,2.,"FIORD JAIL, 4 hř","60,5",Ferdinand Kráner,6,,7,Sokol Samuel,26
,,,,,,,,,,,,,,,3.,"WHISPERS AND SIGHS(FR), 5 kl","59,5",ž. Róbert Šara,krk,,3,Brečka Jaroslav,116
,,,,,,,,,,,,,,,4.,"VIVA FRITZ(SVK), 3 kl","53,0",Veronika Weinbachová,krk,,6,Sokol Samuel,82
,,,,,,,,,,,,,,,5.,"YENNKY(SVK), 4 hř","64,0",ž. Jaroslav Línek,3 1/4,,1,Línek Jaroslav,43
,,,,,,,,,,,,,,,6.,"LUCKYNAV(IRE), 6 hř","57,0",am. Klára Brišková,3 1/2,,5,Šebesta L`udovít,30
,,,,,,,,,,,,,,,7.,"NEUTOP(SVK), 3 kl","55,0",žk. Tomáš Roman,1 3/4,,4,Kubovičová Zuzana,197
,,,,,,,,,,,,,,"7131 Hendikep Datthirey
Rovina IV.kat. - 1200 m, handicap, 3letí a starší
2.300 EUR (1035 - 505 - 320 - 210 - 140 - 90)
Zápisné: 0 + 0 EUR",8.,"SALTINA(GER), 3 kl","55,5",ž. Ján Havlík,2,,2,Heleši Roman,171
,,,,,,,,,,,,,,,1.,"YASMINIA(IRE), 5 kl","56,5",žk. Tomáš Roman,BOJ,,1,Štangel Marián,29
,,,,,,,,,,,,,,,2.,"PALMYRA, 4 kl","54,5",ž. Martina Havelková,1/2,,3,Berthier Kateřina,69
,,,,,,,,,,,,,,,3.,"VAN DAMME(SVK), 13 val","60,0",ž. Jaroslav Línek,1 1/4,,2,Mihalík Marcel,19
,,,,,,,,,,,,,,,4.,"RABBIT REQUINTO(IRE), 5 val","58,0",ž. Ján Havlík,krk,,5,Havlíček Jan,28
,,,,,,,,,,,,,,"7132 Cena Almaza
Rovina V.kat. - 2400 m, cena, 3letí a starší
1.400 EUR (630 - 310 - 195 - 125 - 80 - 60)
Zápisné: 0 + 0 EUR",5.,"NOWAN, 8 val","56,0",ž. Martin Laube,3 1/4,,4,Hanáček Pavel,139
,,,,,,,,,,,,,,,1.,"CHRISTERRO, 3 hř","58,0",ž. Jaroslav Línek,LEHCE,,7,Ralbovský Jozef,36
,,,,,,,,,,,,,,,2.,"ZERKIYA(FR), 3 kl","55,5",ž. Monir Madihi,4 1/2,,2,Hanáček Jaroslav,89
,,,,,,,,,,,,,,,3.,"KAZAMIR(FR), 3 val","56,5",ž. Martina Havelková,1 1/2,,1,Hanáček Jaroslav,38
,,,,,,,,,,,,,,,4.,"DARLINGS DREAM(GER), 3 kl","56,0",ž. Adam Florian,krk,,6,Ročák Michal,54
,,,,,,,,,,,,,,,5.,"RODICK(IRE), 3 hř","54,0",Dominika Baranová,2,,3,Brečka Jaroslav,59
,,,,,,,,,,,,,,,6.,"MONDOVI(SVK), 6 hř","58,0",am. Klára Brišková,krk,,5,Šebesta L`udovít,28
,,,,,,,,,,,,,,"7133 Hendikep Czeneky
Rovina IV.kat. - 2000 m, handicap, 3letí a starší
2.300 EUR (1035 - 505 - 320 - 210 - 140 - 90)
Zápisné: 0 + 0 EUR",7.,"ASPERITAS(GB), 3 hř","54,5",Ferdinand Kráner,daleko,,4,Sokol Samuel,123
,,,,,,,,,,,,,,,1.,"SADDAD(FR), 3 val","57,0",ž. Petr Foret,LEHCE,,2,Brečka Jaroslav,40
,,,,,,,,,,,,,,,2.,"LADY JAZZ(GER), 3 kl","59,0",ž. Jaroslav Línek,3 1/4,,3,Línek Jaroslav,25
,,,,,,,,,,,,,,,3.,"GALADRIELA(GB), 3 kl","60,5",Silvie Ševčíková,2 1/4,,8,Štangel Marián,45
,,,,,,,,,,,,,,,4.,"FIRE VISION(SVK), 7 hř","56,5",žk. Tomáš Roman,hlava,,5,Hanáček Jaroslav,84
,,,,,,,,,,,,,,,5.,"DR COLOKID, 11 kl","59,5",Petra Zedková,1 1/2,,9,Kubliha Ladislav,118
,,,,,,,,,,,,,,,6.,"PRUFY(IRE), 5 kl","59,0",ž. Ján Havlík,1,,1,Línek Jaroslav,118
,,,,,,,,,,,,,,,7.,"STYLHARA(GB), 3 kl","53,5",ž. Martina Havelková,kr.hlava,,7,Šomanová Lenka,206
,,,,,,,,,,,,,,,8.,"MUGURUZA(IRE), 5 kl","60,5",ž. Adam Florian,1 3/4,,4,Mihalík Marcel,56
,,,,,,,,,,,,,,"7134 Cena Quissisany
Rovina II.kat. - 2000 m, cena, 3letí a starší
5.000 EUR (2250 - 1100 - 700 - 450 - 300 - 200)
Zápisné: 0 + 0 EUR",9.,"ROBERTA(SVK), 3 kl","54,5",ž. Monir Madihi,2,,6,Hanáček Jaroslav,173
,,,,,,,,,,,,,,,1.,"MUSTELA(IRE), 4 kl","61,0",ž. Jaroslav Línek,TUHÝ BOJ,,3,Línek Jaroslav,66
,,,,,,,,,,,,,,,2.,"BELLARY(IRE), 4 kl","59,0",ž. Adam Florian,krk,,2,Mihalík Marcel,26
,,,,,,,,,,,,,,,3.,"LA VICTORIA(GER), 3 kl","57,0",ž. Monir Madihi,1 1/2,,1,Hanáček Jaroslav,39
,,,,,,,,,,,,,,,4.,"EYES ON YOU(GER), 6 kl","61,0",ž. Ján Havlík,3/4,,7,Línek Jaroslav,53
,,,,,,,,,,,,,,,5.,"PERSISTENCOFMEMORY(IRE), 3 kl","59,0",ž. Martina Havelková,3/4,,5,Chodúr Jozef,89
,,,,,,,,,,,,,,,6.,"ROMINA(SVK), 3 kl","59,0",žk. Tomáš Roman,1 3/4,,8,Chodúr Jozef,74
,,,,,,,,,,,,,,,7.,"MEDELIN(GER), 6 kl","61,0",ž. Martin Laube,1/2,,4,Chodúr Jozef,99
,,,,,,,,,,,,,,"7135 38. Karpatská cena
Rovina L - 1600 m, cena, 2letí
12.000 EUR (5400 - 2640 - 1680 - 1080 - 720 - 480)
Zápisné: 0 + 0 EUR",8.,"PASAREI(GER), 4 kl","59,0",ž. Radek Koplík,2 1/4,,6,Kubovičová Zuzana,81
,,,,,,,,,,,,,,,1.,"BOULEVARD BLANQUI(FR), 2 hř","58,0",ž. Petr Foret,V. LEHCE,,5,Kubovičová Zuzana,26
,,,,,,,,,,,,,,,2.,"ANIKA, 2 kl","57,0",Petra Zedková,7,,3,Cagáň Ján,53
,,,,,,,,,,,,,,,3.,"BLACK HRON(IRE), 2 hř","58,0",ž. Radek Koplík,hlava,,6,Kubovičová Zuzana,72
,,,,,,,,,,,,,,,4.,"SHE FREE(IRE), 2 kl","57,0",ž. Adam Florian,1 3/4,,1,Kubovičová Zuzana,31
,,,,,,,,,,,,,,,5.,"OSBOURNE(IRE), 2 hř","58,0",ž. Martina Havelková,2 1/2,,2,Chodúr Jozef,80
,,,,,,,,,,,,,,"7136 Hendikep Tanity
Rovina III.kat. - 1700 m, handicap, 3letí a starší
3.000 EUR (1350 - 660 - 420 - 270 - 180 - 120)
Zápisné: 0 + 0 EUR",6.,"DUKE OF MERIDIAN(IRE), 2 hř","58,0",ž. Jaroslav Línek,2,,4,Línek Jaroslav,34
,,,,,,,,,,,,,,,1.,"KAPTAIN JOE(SVK), 7 hř","62,0",ž. Jiří Palík,TUHÝ BOJ,,1,Malík Miroslav,60
,,,,,,,,,,,,,,,2.,"FALCON X, 4 hř","58,5",žk. Tomáš Roman,hlava,,6,Štangel Marián,93
,,,,,,,,,,,,,,,3.,"PATRICIUS(IRE), 5 hř","60,5",Petra Zedková,1,,3,Štangel Marián,78
,,,,,,,,,,,,,,,4.,"GRAY TOUCH(FR), 9 hř","55,0",Ferdinand Kráner,hlava,,8,Chodúr Jozef,78
,,,,,,,,,,,,,,,5.,"MAXIMUM RISK(IRE), 5 val","63,0",ž. Petr Foret,1,,9,Brečka Jaroslav,100
,,,,,,,,,,,,,,,6.,"SIR EGERTON, 6 hř","57,0",ž. Monir Madihi,1 3/4,,10,Hanáček Jaroslav,31
,,,,,,,,,,,,,,,7.,"TEXAS GIRL(FR), 6 kl","53,0",ž. Martina Havelková,3/4,,7,Hribar Primož,173
,,,,,,,,,,,,,,,8.,"POWER HAT(IRE), 4 hř","58,0",ž. Jaroslav Línek,3 1/4,,4,Línek Jaroslav,46
,,,,,,,,,,,,,,,9.,"SKIF(SVK), 7 hř","56,0",ž. Ján Havlík,8,,5,Línek Jaroslav,134
,2022,Výsledky ze dne 30.10.2022 - Bratislava (Slovensko),"7133 Cena Mága
Rovina IV.kat. - 1200 m, cena, 2letí
2.400 EUR (1080 - 525 - 340 - 220 - 140 - 95)
Zápisné: 0 + 0 EUR",1.,"RACING RAY(IRE), 2 hř","57,0",ž. Martin Laube,BOJ,,4,Geisler Markus,145,,,10.,"WIRRWARR(GER), 7 hř","60,0",ž. Adam Florian,hlava,,2,Mihalík Marcel,75
,,,,2.,"ROYAL CATATUMBO(IRE), 2 hř","58,0",ž. Štefan Budovič,1/2,,5,Kubovičová Zuzana,48,,,,,,,,,,,
,,,,3.,"PARTNER IN CRIME(IRE), 2 hř","59,0",ž. Ingrid Janáčková Koplíková,4,,10,Koplík Zdeno,45,,,,,,,,,,,
,,,,4.,"LA POME DE LA ROSE(GB), 2 kl","58,0",ž. Jaroslav Línek,3/4,,2,Línek Jaroslav,19,,,,,,,,,,,
,,,,5.,"RED RIVAL(FR), 2 hř","57,0",žk. Petra Zedková,5,,6,Hanáček Jaroslav,60,,,,,,,,,,,
,,,,6.,"LUCHADORA(GER), 2 kl","54,5",am. Tomáš Roman,2 1/4,,9,Štangel Marián,145,,,,,,,,,,,
,,,,7.,"ROSARIUS, 2 hř","58,0",ž. Vendula Korečková,1/2,,11,Ralbovský Jozef,0,,,,,,,,,,,
,,,,8.,"AGLES(IRE), 2 kl","57,0",ž. Peter Hodáň,4 1/2,,1,Línek Jaroslav,66,,,,,,,,,,,
,,,,9.,"VIVA FRITZ(SVK), 2 kl","54,5",Lucie Fialová,11,,7,Sokol Samuel,0,,,,,,,,,,,
,,,"7134 Cena Čukara
Rovina III.kat. - 1200 m, cena, 3letí a starší
3.000 EUR (1350 - 660 - 420 - 270 - 180 - 120)
Zápisné: 0 + 0 EUR",10.,"ASPERITAS(GB), 2 hř","57,0",ž. Petr Foret,18,,8,Sokol Samuel,364,,,,,,,,,,,
,,,,1.,"EMERYSDAY(IRE), 4 hř","60,0",ž. Martin Laube,JISTĚ,,3,Chodúr Jozef,24,,,,,,,,,,,
,,,,2.,"TONY BOY(GB), 4 val","58,0",ž. Michal Demo,1,,4,Demele Jan,97,,,,,,,,,,,
,,,,3.,"SHAWNEE`S TRIUMPH(FR), 6 hř","57,5",žk. Petra Zedková,3 1/2,,2,Kubovičová Zuzana,35,,,,,,,,,,,
,,,,ZN,"ARTIMED(SVK), 8 hř","60,5",ž. Adam Florian,,,1,Línek Jaroslav,79,,,,,,,,,,,
,,,"7135 Cena Senzusa
Proutky - - 2800 m, cena, 3letí a starší
2.100 EUR (1050 - 485 - 275 - 165 - 125)
Zápisné: 0 + 0 EUR",PN,"AMOS(IRE), 5 hř","63,0",ž. Jaroslav Línek,,,5,Línek Jaroslav,19,,,,,,,,,,,
,,,,1.,"BESTHON(FR), 4 hř","72,0",ž. Jaroslav Myška,JISTĚ,,5,Štangel Marián,19,,,,,,,,,,,
,,,,2.,"KUBIK(FR), 5 hř","73,5",ž. Jan Odložil,1 1/4,,3,Štangel Marián,19,,,,,,,,,,,
,,,,3.,"SUNNY(IRE), 3 kl","68,0",ž. Martin Cagáň,daleko,,2,Cagáň Ján,43,,,,,,,,,,,
,,,"7136 Memoriál Augustína Rišku
Rovina II.kat. - 1600 m, cena, 3letí a starší
4.000 EUR (1800 - 880 - 560 - 360 - 240 - 160)
Zápisné: 0 + 0 EUR",PN,"SORGAN, 4 hř","69,5",am. Tereza Polesná,,,1,Rous Petr,59,,,,,,,,,,,
,,,,1.,"BLUE BAY, 4 kl","60,5",ž. Jaroslav Línek,BOJ,,6,Línek Jaroslav,26,,,,,,,,,,,
,,,,2.,"SHAMAL EMMI(HUN), 3 kl","58,0",ž. David Liška,3/4,,7,Kubovičová Zuzana,40,,,,,,,,,,,
,,,,3.,"RYONY(IRE), 6 val","59,0",ž. Radek Koplík,3/4,,4,Havlíček Jan,142,,,,,,,,,,,
,,,,4.,"ADRIANO(FR), 4 hř","59,0",ž. Adam Florian,3/4,,3,Hanáček Jaroslav,48,,,,,,,,,,,
,,,,5.,"MAXIMUM RISK(IRE), 4 val","60,5",ž. Petr Foret,1 1/2,,8,Brečka Jaroslav,90,,,,,,,,,,,
,,,,6.,"VERSE OF LIFE(FR), 6 kl","58,5",ž. Vendula Korečková,2,,1,Morávková Jaroslava,63,,,,,,,,,,,
,,,,7.,"GRAY TOUCH(FR), 8 hř","60,5",ž. Martin Laube,3/4,,5,Chodúr Jozef,110,,,,,,,,,,,
,,,,8.,"FIORD JAIL, 3 hř","57,0",Lucie Fialová,1 1/2,,2,Sokol Samuel,331,,,,,,,,,,,
,,,"7137 Cena Bledaxa
Steeplechase - - 3800 m, cena, 4letí a starší
2.500 EUR (1250 - 575 - 325 - 200 - 150)
Zápisné: 0 + 0 EUR",9.,"SKIF(SVK), 6 hř","60,5",ž. Jan Verner,5,,9,Línek Jaroslav,76,,,,,,,,,,,
,,,,1.,"FORT RYAN(SVK), 8 val","73,5",ž. Jaroslav Myška,JISTĚ,,1,Brečka Jaroslav,21,,,,,,,,,,,
,,,,2.,"MR ZURU(IRE), 8 val","71,0",Petr Foret,2 3/4,,7,Brečka Jaroslav,29,,,,,,,,,,,
,,,,3.,"SURIKATA, 9 kl","65,5",am. Tereza Polesná,2,,2,Kříž Petr,93,,,,,,,,,,,
,,,,4.,"STING RIVER(IRE), 9 val","70,0",ž. Jan Odložil,daleko,,6,Kříž Petr,171,,,,,,,,,,,
,,,,5.,"MEGHAN(FR), 4 kl","68,0",ž. Martin Cagáň,7,,3,Cagáň Ján,128,,,,,,,,,,,
,,,,6.,"FERINO, 9 val","69,0","Ján Mach, MVDr.",krk,,5,Vymazal Josef,32,,,,,,,,,,,
,,,,7.,"CESAR D`ANJOU(FR), 7 val","67,0",am. Pavel Blaha,3 1/4,,4,Foukal Milan,128,Výsledky ze dne 16.10.2022 - Bratislava (Slovensko),"7125 Cena Tytusa
Rovina V.kat. - 1400 m, cena, 3letí a starší
1.800 EUR (810 - 400 - 250 - 160 - 105 - 75)
Zápisné: 0 + 0 EUR",1.,"SUMMER DRESS(GB), 7 kl","57,0",ž. Martin Laube,JISTĚ,,8,Koplík Zdeno,679
,,,,,,,,,,,,,,,2.,"TONY BOY(GB), 4 val","58,0",ž. Michal Demo,1 1/2,,7,Demele Jan,56
,,,,,,,,,,,,,,,3.,"JUNA LIGHT(GB), 3 kl","60,0",ž. Jaromír Šafář,krk,,10,Drozda František,169
,,,,,,,,,,,,,,,4.,"SHADES ARROW(SVK), 7 hř","59,0",ž. Monir Madihi,1 1/4,,9,Hanáček Jaroslav,42
,,,,,,,,,,,,,,,5.,"NOWAN, 7 val","59,5",ž. Peter Hodáň,krk,,4,Hanáček Pavel,135
,,,,,,,,,,,,,,,6.,"POWER HAT(IRE), 3 hř","60,5",žk. Petra Zedková,4 1/2,,6,Štangel Marián,37
,,,,,,,,,,,,,,,7.,"GOLDEN WARRIOR, 4 val","59,5",ž. Martina Havelková,krk,,1,Demele Jan,
,,,,,,,,,,,,,,,8.,"MC CALMING(SVK), 3 hř","61,0",ž. Jaroslav Línek,1 1/4,,2,Heleši Roman,22
,,,,,,,,,,,,,,,9.,"ESTET(UKR), 3 hř","54,5",Kabyl Uulu Taalajbek,1 3/4,,5,Tugušev Ramazan,113
,,,,,,,,,,,,,,,10.,"PEYRAC(AUT), 3 hř","56,0",ž. Jan Verner,daleko,,11,Hanáček Jaroslav,169
