country,results.year,results.pages.page0.raceDateTitle,results.pages.page0.tables.tableTitle,results.pages.page0.tables.tableRows.poř.,results.pages.page0.tables.tableRows.jméno koně,results.pages.page0.tables.tableRows.váha,results.pages.page0.tables.tableRows.jezdec,results.pages.page0.tables.tableRows.výrok,results.pages.page0.tables.tableRows.čas,results.pages.page0.tables.tableRows.st.č.,results.pages.page0.tables.tableRows.trenér,results.pages.page0.tables.tableRows.evq,results.pages.page1.raceDateTitle,results.pages.page1.tables.tableTitle,results.pages.page1.tables.tableRows.poř.,results.pages.page1.tables.tableRows.jméno koně,results.pages.page1.tables.tableRows.váha,results.pages.page1.tables.tableRows.jezdec,results.pages.page1.tables.tableRows.výrok,results.pages.page1.tables.tableRows.čas,results.pages.page1.tables.tableRows.st.č.,results.pages.page1.tables.tableRows.trenér,results.pages.page1.tables.tableRows.evq
,,,,,,,,,,,,,,,PN,"OROBLANCO(GER), 10 val","71,5",Dominika Baranová,,,5,Brečka Jaroslav,64
,,,,,,,,,,,,,,,ZN,"MIKE MAJK(IRE), 6 val","70,5",ž. Jakub Kocman,,,3,Štangel Marián,80
,,,,,,,,,,,,,,"7005 Cena starostu MČ Petržalka - Cena trojročných žrebcov
Rovina I.kat. - 1600 m, cena, 3letí - hřebci
7.000 EUR (3150 - 1540 - 980 - 630 - 420 - 280)
Zápisné: 0 + 0 EUR",ZN,"IARAK(FR), 6 val A 1/2","70,5",ž. Martin Cagáň,,,4,Cagáň Ján,63
,,,,,,,,,,,,,,,1.,"EXACT(FR), 3 hř","60,0",Djordje Perović,BOJ,,1,Jovanovič Miroslav,39
,,,,,,,,,,,,,,,2.,"HÁJEK(IRE), 3 hř","57,0",ž. Monir Madihi,1/2,,6,Hanáček Jaroslav,101
,,,,,,,,,,,,,,,3.,"CHEEKY BOY(FR), 3 hř","57,0",ž. Michal Demo,2,,5,Demo Michal,103
,,,,,,,,,,,,,,,4.,"OSBOURNE(IRE), 3 hř","57,0",ž. Martina Havelková,1,,7,Chodúr Jozef,76
,,,,,,,,,,,,,,,5.,"KORNELIUS(GER), 3 hř","57,0",Petra Zedková,7,,8,Štangel Marián,26
,,,,,,,,,,,,,,,6.,"SOMMERPRINZ(GER), 3 hř","60,0",ž. David Liška,8,,4,Maronka Gábor,37
,,,,,,,,,,,,,,"7006 51. Jarná cena MČ Petržalka
Steeplechase - - 3800 m, cena, 5letí a starší
3.300 EUR (1650 - 760 - 430 - 265 - 195)
Zápisné: 0 + 0 EUR",ZN,"BURSTAR(IRE), 3 hř","57,0",ž. Adam Florian,,,3,Kubovičová Zuzana,50
,,,,,,,,,,,,,,,1.,"FORT RYAN(SVK), 10 val","72,0",ž. Pavel Složil ml.,BOJ,,5,Brečka Jaroslav,42
,,,,,,,,,,,,,,,2.,"CHITTUSSI(FR), 5 val","72,0",ž. Jan Faltejsek,3/4,,1,Tůma Pavel,20
,,,,,,,,,,,,,,,3.,"ROYAL GINO(GER), 11 hř","72,0",ž. Jakub Kocman,6,,6,Štangel Marián,33
,,,,,,,,,,,,,,,Z,"SHAWNEE`S TRIUMPH(FR), 8 hř","70,0",ž. Jaroslav Myška,,,3,Brečka Jaroslav,95
,,,,,,,,,,,,,,"7007 Cena starostu MČ Petržalka - Cena trojročných kobýl
Rovina I.kat. - 1600 m, cena, 3letí - klisny
7.000 EUR (3150 - 1540 - 980 - 630 - 420 - 280)
Zápisné: 0 + 0 EUR",ZN,"GATSBY, 7 val","70,0",žk. Tereza Polesná,,,2,Tůma Pavel,32
,,,,,,,,,,,,,,,1.,"HARMONY(SVK), 3 kl","57,0",ž. Martina Havelková,BOJ,,1,Chodúr Jozef,312
,,,,,,,,,,,,,,,2.,"WITCH IN PINK(GER), 3 kl","58,0",ž. Martin Laube,1/2,,4,Urbánek Luboš,84
,,,,,,,,,,,,,,,3.,"ASTURIAS(FR), 3 kl","57,0",ž. Adam Florian,hlava,,5,Luka Václav,70
,,,,,,,,,,,,,,,4.,"ANIKA, 3 kl","58,5",Petra Zedková,2,,9,Cagáň Ján,108
,,,,,,,,,,,,,,,5.,"RHAPSODY(SVK), 3 kl","57,0",ž. Monir Madihi,1 1/4,,8,Hanáček Jaroslav,37
,,,,,,,,,,,,,,,6.,"AMRA(GER), 3 kl","58,5",ž. Jaroslav Línek,1/2,,6,Línek Jaroslav,18
,,,,,,,,,,,,,,,7.,"ROYAL ROSE(FR), 3 kl","58,0",ž. David Liška,krk,,10,Mihalík Marcel,161
,,,,,,,,,,,,,,,8.,"OWIDIE, 3 kl","57,0",ž. Petr Foret,2 3/4,,3,Záhorová Eva,142
,,,,,,,,,,,,,,,9.,"MATERANA(IRE), 3 kl","57,0",Lucie Fialová,hlava,,2,Luka Václav,227
,,,,,,,,,,,,,,"7008 Cena Eliminátora
Rovina IV.kat. - 2000 m, cena, 4letí a starší
2.300 EUR (1035 - 505 - 320 - 210 - 140 - 90)
Zápisné: 0 + 0 EUR",10.,"FEMININ(FR), 3 kl","57,0",ž. Jiří Palík,5,,7,Tugušev Ramazan,151
,,,,,,,,,,,,,,,1.,"CHRISTERRO, 4 hř","59,0",ž. Jaroslav Línek,JISTĚ,,14,Ralbovský Jozef,56
,,,,,,,,,,,,,,,2.,"FIRE VISION(SVK), 8 hř","59,5",ž. Ján Havlík,1 1/2,,9,Hanáček Jaroslav,61
